Month,Barrels
Dec 1994,6760
Nov 1994,6628
Oct 1994,6658
Sep 1994,6609
Aug 1994,6544
Jul 1994,6501
Jun 1994,6611
May 1994,6688
Apr 1994,6612
Mar 1994,6746
Feb 1994,6770
Jan 1994,6817
Dec 1993,6858
Nov 1993,6912
Oct 1993,6839
Sep 1993,6712
Aug 1993,6758
Jul 1993,6688
Jun 1993,6795
May 1993,6847
Apr 1993,6881
